Year,Total,Digital,Rate
1951,1,0,0.0
1952,0,0,0.0
1953,0,0,0.0
1954,0,0,0.0
1955,0,0,0.0
1956,0,0,0.0
1957,0,0,0.0
1958,0,0,0.0
1959,0,0,0.0
1960,0,0,0.0
1961,0,0,0.0
1962,0,0,0.0
1963,0,0,0.0
1964,1,0,0.0
1965,0,0,0.0
1966,0,0,0.0
1967,0,0,0.0
1968,0,0,0.0
1969,0,0,0.0
1970,1,0,0.0
1971,1,0,0.0
1972,2,1,50.0
1973,0,0,0.0
1974,0,0,0.0
1975,0,0,0.0
1976,0,0,0.0
1977,0,0,0.0
1978,0,0,0.0
1979,0,0,0.0
1980,0,0,0.0
1981,0,0,0.0
1982,0,0,0.0
1983,2,0,0.0
1984,0,0,0.0
1985,0,0,0.0
1986,1,0,0.0
1987,1,0,0.0
1988,1,0,0.0
1989,2,0,0.0
1990,3,0,0.0
1991,0,0,0.0
1992,1,0,0.0
1993,0,0,0.0
1994,4,0,0.0
1995,3,0,0.0
1996,3,0,0.0
1997,5,0,0.0
1998,7,0,0.0
1999,5,0,0.0
2000,7,0,0.0
2001,9,0,0.0
2002,17,0,0.0
2003,16,0,0.0
2004,15,0,0.0
2005,38,0,0.0
2006,28,0,0.0
2007,40,1,2.5
2008,29,0,0.0
2009,59,0,0.0
2010,77,0,0.0
2011,87,0,0.0
2012,111,0,0.0
2013,120,0,0.0
2014,160,0,0.0
2015,231,2,0.8658008658008658
2016,350,3,0.8571428571428572
2017,237,5,2.109704641350211
2018,150,4,2.666666666666667
2019,284,9,3.169014084507042
2020,349,18,5.157593123209169
2021,248,10,4.032258064516129
2022,2,0,0.0
